4.000000000000000000e+00,1.000000000000000000e+00,6.666666666666666297e-01
6.000000000000000000e+00,1.000000000000000000e+00,5.333333333333333259e-01
8.000000000000000000e+00,1.000000000000000000e+00,4.571428571428571286e-01
1.000000000000000000e+01,1.000000000000000000e+00,4.063492063492063489e-01
1.200000000000000000e+01,1.000000000000000000e+00,3.694083694083692970e-01
1.400000000000000000e+01,2.000000000000000000e+00,6.050616050616050012e-01
1.600000000000000000e+01,2.000000000000000000e+00,5.698523698523698666e-01
1.800000000000000000e+01,2.000000000000000000e+00,5.402532108414461742e-01
2.000000000000000000e+01,2.000000000000000000e+00,5.149148065556734544e-01
2.200000000000000000e+01,2.000000000000000000e+00,4.929013195267065717e-01
2.400000000000000000e+01,2.000000000000000000e+00,4.735412207481127789e-01
2.600000000000000000e+01,2.000000000000000000e+00,4.563387023529707487e-01
2.800000000000000000e+01,2.000000000000000000e+00,4.409187504139718827e-01
3.000000000000000000e+01,2.000000000000000000e+00,4.269917947802844282e-01
3.200000000000000000e+01,3.000000000000000000e+00,5.731082226788333234e-01
3.400000000000000000e+01,3.000000000000000000e+00,5.586738581597290310e-01
3.600000000000000000e+01,3.000000000000000000e+00,5.453091505239964221e-01
3.800000000000000000e+01,3.000000000000000000e+00,5.328876676913014698e-01
4.000000000000000000e+01,3.000000000000000000e+00,5.213028834192444672e-01
4.200000000000000000e+01,3.000000000000000000e+00,5.104643515534843523e-01
4.400000000000000000e+01,3.000000000000000000e+00,5.002947324872943913e-01
4.600000000000000000e+01,3.000000000000000000e+00,4.907274593622537595e-01
4.800000000000000000e+01,3.000000000000000000e+00,4.817048893049009073e-01
5.000000000000000000e+01,3.000000000000000000e+00,4.731768259973322954e-01
5.200000000000000000e+01,3.000000000000000000e+00,4.650993292090692677e-01
5.400000000000000000e+01,3.000000000000000000e+00,4.574337480808183254e-01
5.600000000000000000e+01,3.000000000000000000e+00,4.501459303627108888e-01
5.800000000000000000e+01,4.000000000000000000e+00,5.561720214852310384e-01
6.000000000000000000e+01,4.000000000000000000e+00,5.485132790887982113e-01
6.200000000000000000e+01,4.000000000000000000e+00,5.411737639331475336e-01
6.400000000000000000e+01,4.000000000000000000e+00,5.341317532494241904e-01
6.600000000000000000e+01,4.000000000000000000e+00,5.273675332780973779e-01
6.800000000000000000e+01,4.000000000000000000e+00,5.208631684765600012e-01
7.000000000000000000e+01,4.000000000000000000e+00,5.146023019106757967e-01
7.200000000000000000e+01,4.000000000000000000e+00,5.085699820594326015e-01
7.400000000000000000e+01,4.000000000000000000e+00,5.027525120638529632e-01
7.600000000000000000e+01,4.000000000000000000e+00,4.971373181091884863e-01
7.800000000000000000e+01,4.000000000000000000e+00,4.917128341700371941e-01
8.000000000000000000e+01,4.000000000000000000e+00,4.864684007932338905e-01
8.200000000000000000e+01,4.000000000000000000e+00,4.813941759609747240e-01
8.400000000000000000e+01,4.000000000000000000e+00,4.764810563809684929e-01
8.600000000000000000e+01,4.000000000000000000e+00,4.717206078031289662e-01
8.800000000000000000e+01,4.000000000000000000e+00,4.671050031727598251e-01
9.000000000000000000e+01,4.000000000000000000e+00,4.626269676059667768e-01
9.200000000000000000e+01,4.000000000000000000e+00,4.582797293203080269e-01
9.400000000000000000e+01,5.000000000000000000e+00,5.411326045735037615e-01
9.600000000000000000e+01,5.000000000000000000e+00,5.365496767421318314e-01
9.800000000000000000e+01,5.000000000000000000e+00,5.320859209512385224e-01
1.000000000000000000e+02,5.000000000000000000e+00,5.277362147064073028e-01
1.020000000000000000e+02,5.000000000000000000e+00,5.234957382156391059e-01
1.040000000000000000e+02,5.000000000000000000e+00,5.193599519317503299e-01
1.060000000000000000e+02,5.000000000000000000e+00,5.153245760741029802e-01
1.080000000000000000e+02,5.000000000000000000e+00,5.113855719302894398e-01
1.100000000000000000e+02,5.000000000000000000e+00,5.075391247606595435e-01
1.120000000000000000e+02,5.000000000000000000e+00,5.037816281481460878e-01
1.140000000000000000e+02,5.000000000000000000e+00,5.001096696531015517e-01
1.160000000000000000e+02,5.000000000000000000e+00,4.965200176480277228e-01
